Name,Team,Rating
Aaron Scott,St Johns,3.7
Aden Holloway,Alabama,2.6
Alex Condon,Florida,4.4
Alijah Martin,Florida,4.6
Amari Williams,Kentucky,3.3
Andersson Garcia,Texas A&M,3.1
Andrew Carr,Kentucky,3.3
Ansley Almanor,Kentucky,1.8
Anthony DellOrso,Arizona,2
Brady Dunlap,St Johns,0.7
Brandon Garrison,Kentucky,1.6
Brandton Chatfield,Iowa State,2
Cade Phillips,Tennessee,2.4
Caleb Evans,Duke,1.5
Caleb Love,Arizona,3.8
Cameron Carr,Tennessee,0.3
Carson Cooper,Michigan State,2.6
Carter Gilmore,Wisconsin,1.9
Chad Baker-Mazara,Auburn,4.4
Chance McMillan,Texas Tech,4.8
Chaney Johnson,Auburn,3.4
Chaz Lanier,Tennessee,4.6
Chris Youngblood,Alabama,1.6
Christian Anderson,Texas Tech,3.7
Clifford Omoruyi,Alabama,3.1
Coen Carr,Michigan State,2.8
Cooper Flagg,Duke,7.3
Curtis Jones,Iowa State,4.7
Darrion Williams,Texas Tech,4.1
Deivon Smith,St Johns,2.8
Denver Jones,Auburn,3.2
Denzel Aberdeen,Florida,2
Devon Cambridge,Texas Tech,0.3
Dishon Jackson,Iowa State,3.4
Dylan Cardwell,Auburn,3.1
Elijah Hawkins,Texas Tech,3.6
Emanuel Sharp,Houston,5.1
Felix Okpara,Tennessee,3.3
Frankie Fidler,Michigan State,2.2
Grant Nelson,Alabama,3.1
Hayden Hefner,Texas A&M,1.2
Henry Coleman,Texas A&M,3.1
Henry Veesar,Arizona,3.6
Igor Milicic Jr,Tennessee,4.1
Isaiah Evans,Duke,2.3
Jaden Akins,Michigan State,2.9
Jaden Bradley,Arizona,3.6
Jahki Howard,Auburn,0.8
Jahmai Mashack,Tennessee,3.5
Jase Richardson,Michigan State,4.2
Javier Francis,Houston,2.4
Jaxon Kohler,Michigan State,3.3
Jeremy Fears,Michigan State,2.8
John Blackwell,Wisconsin,3.6
John Tonje,Wisconsin,5.8
Johni Broome,Auburn,6.2
Jordan Gainey,Tennessee,4.1
Joseph Tugler,Houston,3.6
Joshua Jefferson,Iowa State,5.1
JT Toppin,Texas Tech,5
JWan Roberts,Houston,3.9
Kadary Richmond,St Johns,5.2
Kamari McGee,Wisconsin,2.9
Kerr Kriisa,Kentucky,0.3
Kerwin Walton,Texas Tech,1.6
Keshon Gilbert,Iowa State,3
Kevin Overton,Texas Tech,2.4
Khaman Maluach,Duke,4.6
KJ Lewis,Arizona,3.2
Koby Brea,Kentucky,3
Kon Knueppel,Duke,6
Labaron Philon,Alabama,2.8
Lamont Butler,Kentucky,2.3
Latrell Wrightsell Jr,Alabama,0.8
LJ Cryer,Houston,5.4
Manny Obaseki,Texas A&M,1
Mark Sears,Alabama,4.2
Mason Gillis,Duke,2.1
Max Klesmit,Wisconsin,2.2
Milan Momcilovic,Iowa State,2.5
Miles Kelly,Auburn,3.6
Milos Uzan,Houston,5.3
Motiejus Krivas,Arizona,0.7
Mouhamed Dioubate,Alabama,2.7
Mylik Wilson,Houston,2.9
Nate Heise,Iowa State,2.3
Nolan Winter,Wisconsin,4
Otega Oweh,Kentucky,3.8
Pharell Payne,Texas A&M,2.8
RJ Luis,St Johns,5.1
Rueben Chinyelu,Florida,2.9
Sam Alexis,Florida,0.9
Simeon Wilcher,St Johns,2.1
Sion James,Duke,4.7
Solomon Washington,Texas A&M,1.9
Steven Crowl,Wisconsin,3.6
Tahaad Pettiford,Auburn,2.8
Tamin Lipsey,Iowa State,4.1
Terrance Arceneaux,Houston,3.2
Thomas Haugh,Florida,4.6
Tobe Awaka,Arizona,3.6
Tre Holloman,Michigan State,2.4
Trey Townsend,Arizona,2
Tyrese Proctor,Duke,4.2
Vincent Iwuchukwu,St Johns,0.9
Wade Taylor IV,Texas A&M,3.5
Walter Clayton Jr,Florida,5.4
Will Richard,Florida,5
Xavier Amos,Wisconsin,0.7
Zakai Ziegler,Tennessee,5.2
Zhuric Phelps,Texas A&M,1.9
Zuby Ejiofor,St Johns,6.1